Id,Label,node_type,term_type,term_name
IPR018485,"Carbohydrate kinase FGGY, C-terminal",annotation,domain,"Carbohydrate kinase FGGY, C-terminal"
GO:0016791,phosphatase activity,annotation,go_term,phosphatase activity
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,annotation,pathway,Processing of Capped Intron-Containing Pre-mRNA
IPR036443,"Zinc finger, RanBP2-type superfamily",annotation,domain,"Zinc finger, RanBP2-type superfamily"
GO:0048489,synaptic vesicle transport,annotation,go_term,synaptic vesicle transport
IPR000859,CUB domain,annotation,domain,CUB domain
IPR000690,"Matrin/U1-C, C2H2-type zinc finger",annotation,domain,"Matrin/U1-C, C2H2-type zinc finger"
GO:0061564,axon development,annotation,go_term,axon development
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",annotation,go_term,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
GO:0006892,post-Golgi vesicle-mediated transport,annotation,go_term,post-Golgi vesicle-mediated transport
GO:1903573,negative regulation of response to endoplasmic reticulum stress,annotation,go_term,negative regulation of response to endoplasmic reticulum stress
GO:0098794,postsynapse,annotation,go_term,postsynapse
GO:1905037,autophagosome organization,annotation,go_term,autophagosome organization
R-HSA-205043,NRIF signals cell death from the nucleus,annotation,pathway,NRIF signals cell death from the nucleus
R-HSA-9755511,KEAP1-NFE2L2 pathway,annotation,pathway,KEAP1-NFE2L2 pathway
IPR033741,"Sequestosome-1, UBA domain",annotation,domain,"Sequestosome-1, UBA domain"
IPR052260,Autophagy Receptor and Signaling Regulator,annotation,domain,Autophagy Receptor and Signaling Regulator
GO:0008143,poly(A) binding,annotation,go_term,poly(A) binding
GO:0035925,mRNA 3'-UTR AU-rich region binding,annotation,go_term,mRNA 3'-UTR AU-rich region binding
GO:0017022,myosin binding,annotation,go_term,myosin binding
IPR041491,"TRPM, SLOG domain",annotation,domain,"TRPM, SLOG domain"
R-HSA-68877,Mitotic Prometaphase,annotation,pathway,Mitotic Prometaphase
R-HSA-9833482,PKR-mediated signaling,annotation,pathway,PKR-mediated signaling
GO:0019899,enzyme binding,annotation,go_term,enzyme binding
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,annotation,pathway,Cargo recognition for clathrin-mediated endocytosis
IPR000535,Major sperm protein (MSP) domain,annotation,domain,Major sperm protein (MSP) domain
IPR013783,Immunoglobulin-like fold,annotation,domain,Immunoglobulin-like fold
R-HSA-9013407,RHOH GTPase cycle,annotation,pathway,RHOH GTPase cycle
R-HSA-9931269,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),annotation,pathway,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
IPR001464,Annexin,annotation,domain,Annexin
GO:0010826,negative regulation of centrosome duplication,annotation,go_term,negative regulation of centrosome duplication
IPR036915,Cyclin-like superfamily,annotation,domain,Cyclin-like superfamily
IPR001611,Leucine-rich repeat,annotation,domain,Leucine-rich repeat
GO:0007006,mitochondrial membrane organization,annotation,go_term,mitochondrial membrane organization
R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex,annotation,pathway,Translation of Replicase and Assembly of the Replication Transcription Complex
GO:0032935,sterol sensor activity,annotation,go_term,sterol sensor activity
GO:0016407,acetyltransferase activity,annotation,go_term,acetyltransferase activity
IPR056591,"ELP3-like, N-terminal domain",annotation,domain,"ELP3-like, N-terminal domain"
R-HSA-1236394,Signaling by ERBB4,annotation,pathway,Signaling by ERBB4
R-HSA-1251985,Nuclear signaling by ERBB4,annotation,pathway,Nuclear signaling by ERBB4
R-HSA-1963640,GRB2 events in ERBB2 signaling,annotation,pathway,GRB2 events in ERBB2 signaling
IPR000719,Protein kinase domain,annotation,domain,Protein kinase domain
IPR011009,Protein kinase-like domain superfamily,annotation,domain,Protein kinase-like domain superfamily
IPR017441,"Protein kinase, ATP binding site",annotation,domain,"Protein kinase, ATP binding site"
IPR018484,"Carbohydrate kinase FGGY, N-terminal",annotation,domain,"Carbohydrate kinase FGGY, N-terminal"
GO:0004722,protein serine/threonine phosphatase activity,annotation,go_term,protein serine/threonine phosphatase activity
IPR034516,"hnRNP A1/3, RNA recognition motif 2",annotation,domain,"hnRNP A1/3, RNA recognition motif 2"
IPR041282,FYVE-type zinc finger,annotation,domain,FYVE-type zinc finger
GO:0099184,structural constituent of postsynaptic intermediate filament cytoskeleton,annotation,go_term,structural constituent of postsynaptic intermediate filament cytoskeleton
IPR002957,"Keratin, type I",annotation,domain,"Keratin, type I"
IPR006821,"Intermediate filament head, DNA-binding domain",annotation,domain,"Intermediate filament head, DNA-binding domain"
R-HSA-204005,COPII-mediated vesicle transport,annotation,pathway,COPII-mediated vesicle transport
GO:0019905,syntaxin binding,annotation,go_term,syntaxin binding
GO:0005789,endoplasmic reticulum membrane,annotation,go_term,endoplasmic reticulum membrane
GO:0038023,signaling receptor activity,annotation,go_term,signaling receptor activity
GO:0070207,protein homotrimerization,annotation,go_term,protein homotrimerization
IPR036423,"Superoxide dismutase-like, copper/zinc binding domain superfamily",annotation,domain,"Superoxide dismutase-like, copper/zinc binding domain superfamily"
IPR009060,UBA-like superfamily,annotation,domain,UBA-like superfamily
GO:0003712,GO annotation (molecular function),annotation,go_term,GO annotation (molecular function)
R-HSA-3295583,TRP channels,annotation,pathway,TRP channels
GO:0005385,zinc ion transmembrane transporter activity,annotation,go_term,zinc ion transmembrane transporter activity
IPR057366,TRPM-like domain,annotation,domain,TRPM-like domain
R-HSA-5620920,Cargo trafficking to the periciliary membrane,annotation,pathway,Cargo trafficking to the periciliary membrane
GO:0005874,microtubule,annotation,go_term,microtubule
IPR008280,"Tubulin/FtsZ, C-terminal",annotation,domain,"Tubulin/FtsZ, C-terminal"
IPR000008,C2 domain,annotation,domain,C2 domain
IPR037302,"Protein Unc-13, C2B domain",annotation,domain,"Protein Unc-13, C2B domain"
R-HSA-5362768,Hh mutants are degraded by ERAD,annotation,pathway,Hh mutants are degraded by ERAD
IPR003960,"ATPase, AAA-type, conserved site",annotation,domain,"ATPase, AAA-type, conserved site"
GO:0005085,guanyl-nucleotide exchange factor activity,annotation,go_term,guanyl-nucleotide exchange factor activity
GO:0031267,small GTPase binding,annotation,go_term,small GTPase binding
GO:0016197,endosomal transport,annotation,go_term,endosomal transport
IPR003123,VPS9 domain,annotation,domain,VPS9 domain
IPR036816,Ribonuclease A-like domain superfamily,annotation,domain,Ribonuclease A-like domain superfamily
R-HSA-8951664,Neddylation,annotation,pathway,Neddylation
IPR006671,"Cyclin, N-terminal",annotation,domain,"Cyclin, N-terminal"
IPR013763,Cyclin-like domain,annotation,domain,Cyclin-like domain
IPR048258,"Cyclins, cyclin-box",annotation,domain,"Cyclins, cyclin-box"
GO:0032391,photoreceptor connecting cilium,annotation,go_term,photoreceptor connecting cilium
GO:0036064,ciliary basal body,annotation,go_term,ciliary basal body
R-HSA-1268020,Mitochondrial protein import,annotation,pathway,Mitochondrial protein import
R-HSA-380320,Recruitment of NuMA to mitotic centrosomes,annotation,pathway,Recruitment of NuMA to mitotic centrosomes
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,annotation,pathway,Signaling by ALK fusions and activated point mutants
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",annotation,go_term,"acyltransferase activity, transferring groups other than amino-acyl groups"
R-HSA-1250196,SHC1 events in ERBB2 signaling,annotation,pathway,SHC1 events in ERBB2 signaling
R-HSA-8863795,Downregulation of ERBB2 signaling,annotation,pathway,Downregulation of ERBB2 signaling
IPR006211,Furin-like cysteine-rich domain,annotation,domain,Furin-like cysteine-rich domain
IPR050122,Receptor Tyrosine Kinase,annotation,domain,Receptor Tyrosine Kinase
GO:0043813,"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity",annotation,go_term,"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity"
GO:0003774,cytoskeletal motor activity,annotation,go_term,cytoskeletal motor activity
